subid,sdint,luint,pgint,irint,irfrBIN1to5,trint,taint,arint,tting,mcint,mcfrBIN1to5,efint,elint,tkint,ilint,ugint,mpint,maarint,ueint,grint,grctint,fiint,pjint,isiint,islint,dcint,dnsint,sbint,anint,liint,aint
23,2,2,1,2,2.5,2,1,1,1,2, ,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
25,2,2,1,2,3,2,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1
26,2,2,1,3,2.5,2,2,1,2,2,4,1,2,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1
27,2,2,1,3,1.5,2,1,1,2,1,3,2,2,3,1,1,1,1, ,1,1,2,1,1,1,1,1,1,2,1,1
29,1,2,1,2,2.5,2,1,2, ,1,3,1,2,1,1,1,1,1,1,3, ,1,2,2,1,1,1,1,1,1,1
30,2,2,1,3,3,3,1,1,1,2,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
31,2,2,1,3,2.5,3,1,1,3,2,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,2,2,1,3,2.5,2,1,1,2,2,4.5,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
38,2,2,1,2,2.5,2,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,2,2,1,2,2.5,2,1,2, ,1,3,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
41,3,2,2,3,3.5,2,2,2, ,2,4,1,3,1,2,1,2,2,2,3,2,1,1,1,1,1,1,2,1,1,1
42,3,3,1,4,5,4,2,2, ,4,5,2,1,2,1,1,1,1,2,1,1,2,3,2,1,1,2,1,1,1,1
43,2,2,1,3,3.5,2,2,2,3,3,5,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,1,1,1,4,3,2,1,2,2,2,3.5,2,3,2,1,1,1,3,1,1,1,1,1,2,1,3,1,1,1,1,1
47,2,2,1,3,3.5,3,2,1, ,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
49,3,2,1,2,2,2,1,1,2,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
52,3,2,1,2,3.5,3,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
53,3, ,1,3,2.5,2,1,2, ,1,3,2,3,2,2,1,2,2,2,4,2,2,2,4,1, ,1,2,1,1,1
54,2,2,1,2,1.5,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55,3,3,1,3,1.5,2,1,1, ,2,4,2,2,2,1,1,1,1,1,2,1,1,1,3,1,1,1,1,2,1,1
