subid,sdint,luint,pgint,irint,irfrBIN1to5,trint,taint,arint,ttint,mcint,mcfrBIN1to5,efint,elint,tkint,ilint,ugint,mpint,maarint,ueint,grint,grctint,fiint,pjint,isiint,islint,dcint,dnsint,sbint,anint,liint,aint
23,1,1,1,1,2, ,1,1,2,1,2.00,1,1,1,1,1,1,1,,1,1,1, ,1, ,1, ,1,1,1,1
24,1,1,1,1,2,1,1,1,2,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,1,1,1,1,2,1,1,1,1,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,1,1,1,1,2, ,1,1,2,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,1,1,1,2,4,1,1,1,2,2,,2,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
29,1,1,1,1,2,1,1,2,3,1,2.00,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,1,1,1,1,2,2,1,1,1,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
32,1,1,1,1,2,1,1,1,2,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,1,1,1,1,2,1,1,1,2,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,2,1,2,1,2,2,1,1,2,2,4.50,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
41,2,2,1,1,2,1,2,1,2,1,2.00,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1
42,1,3,1,2,4,2,2,2,3,3,5.00,1,1,1,1,1,1,1,1,2, ,2,1,1,1,1,1,1,3,1,1
43,1,1,1,1,2,1,1,1,1,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,2,2,1,2,5,1,1,2,3,3,5.00,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1
47,1,1,1,1,2,1,1,1,2,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49,2,1,1,1,2,1,1,1,1,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
52,3, ,1, , ,3,1,1,2,1,2.00,2,1,2,1,2,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
54,1,1,1,1,2,1,1,1,2,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55,2,2,2,2,4,2,2,1,1,2,4.50,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1
56,1, ,1,2,4.5,1,1,2,1,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57,1,1,1,1,2,1,1,1,1,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60,1,1,1,1,2,1,1,1,1,1,2.00,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
61,1,1,1,1,2,1,1,1,1,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
64,1,1,1,1,2,1,1,1,2,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
67,2,2,1,2,4.5,2,1,1,2,2,4.50,1,2,1,1,1,1,1,1,2, ,1,1,2,1,1,1,1,1,1,1
70,2,2,1,2,5,2,2,2,2,2,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
71,1,1,1,1,2,1,1,1,3,1,2.00,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1
76,2,3,1,2,5,2,1,1,1,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
77,2,2,1,2,4,2,1,1,1,2,4.50,1,3,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1
78,1,1,1,1,2,1,1,1,1,1,2.00,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,1,1,1,1,2,2,1,1,1,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
85,1,1,1,1,2,1,1,1,2,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
91,2,2,1,2,4,2,1,1,1,1,,2,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1
98,1,1,1,2,4,1, ,1,1,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
99,2,2,1,1,2,1,1,2, ,1,2.00,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102,1,1,1,1,2,1,1,1,2,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
104,2,1,1,1,2,1,1,1,3,1,2.00,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
105,2,2,1,2,4,2,1,1,3,1,,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
106,1,1,1,1,2,1,1,1, ,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
107,1,1,1,1,2,1,1,1, ,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
108,1,1,1,1,2,1,1,1,1,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
109,2,2,1,2,5,2,1,1,1,1,,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
111,1,1,1,1,2,1,2,1,3,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
112,1,1,1,1,2,1,1,1,3,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
114,1,1,1,1,2,2,1,1,1,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
116,2,1,1,1,2,1,1,1,2,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1
117,2,2,1,2,5,2,1,1,2,1,,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
118,1,1,2,1,2,1,2,2, ,1,2.00,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1
119,1,1,1,1,2,1,1,1, ,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
120,1,1,1,1,2,1,1,1,2,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
