subid,sdint,luint,pgint,irint,irfrBIN1to5,trint,taint,arint,ttint,mcint,mcfrBIN1to5,efint,elint,tkint,ilint,ugint,mpint,maarint,urint,grint,grctint,fiint,pjint,isiint,islint,dcint,dnsint,sbint,anint,liint,aint
23,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1, ,1,2,1,1,1,1,1
24,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,2,1,1,1
25,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
26,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
27,1,1,1,1,2,1,1,1,1,2,5,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,2,1,1
29,1,1,1,2,4.5,1,1,2,3,2,4.5,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,2,1,1,1
30,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
32,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
38,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
39,1,1,1,1,2,1,1,2,1,1,2,2,1,1,1,1,2,1,1,1, ,1,2,1,1,2,1,2,1,1,1
41,2,1,2,1,2,3,1,1,2,1,2,1,1,1,3,1,2,1,1,1, ,1,1,1,1,1,1,1,1,1,1
42,2,2,1,2,5,3,2,2,3,3,5,2,1,1,1,2,1,1,1,1, ,1,1,1,1,1,1,1,2,1,1
43,1,1,1,1,2,2,2,1,1,2,5,1,1,1,1,1,1,1,1,1, ,1,1,1,1,3,1,1,1,1,3
45,3,1,1,3,5,1,2,2,2,2,5,2,1,1,1,1,2,1,2,2,1,2,1,1,2,1,1,1,1,1,1
47,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
49,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,2,1,1,1,1,1
52,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1, ,1,1,1,1,1
53,2,1,1,2,4.5,2,1,2,1,1,2,1,2,1,2,1,2,1,1,1, ,1,2,1,1,3,1,1,1,1,2
54,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
55,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1, ,1,1,1,1,2,1,1,1,1,1
56,2,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
57,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
58,1,1,1,3,5,3,2,2, ,2,5,2,2,1,1,1,2,1,1,1, ,1,2,2,3,1,1,1,1,1,1
59,1,1,1,3,5,3,2,2, ,1,2,2,1,1,1,1,1,1,1,1, ,1,1,1,1,3,1,1,3,1,2
60,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
61,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
64,1,1,1,1,2,1,1,1, ,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
67,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
69,1,1,1,1,2,1,1,1, ,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,2,1,1,1
70,1,1,1,1,2,2,2,2,2,2,4.5,2,1,1,1,1,1,2,1,1, ,1,1,1,1,2,1,1,1,1,1
71,1,1,2,1,2,2,2,2,1,3,5,2,1,2,1,1,2,1,1,1, ,1,1,1,1,3,1,2,1,1,1
74,1,1,1,1,2,2,1,1, ,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,2,1,1
76,1,2,1,2,4.5,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1, ,1,1,1,1,2,1,1,1,1,1
77,1,1,2,1,2,1,1,1,1,1,2,2,1,2,1,1,1,1,2,1, ,1,1,1,1,1,1,1,1,1,1
78,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
81,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
85,2,1,1,2,4.5,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
87,2,2,1,3,4.5,2,1,2,3,3,5,1,1,1,1,1,1,1,1,1, ,2,1,1,1,2,1,2,2,1,2
89,1,2,2,1,2,2,2,2,2,2,4.5,2,1,1,1,1,1,2,1,1, ,1,1,1,2,3,1,1,1,1,1
90, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
91,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
98,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
99,1,1,1,1,2,1,1,1, ,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
100,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
101,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1, ,1,1,1,1,1,1,1
102,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
104,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,2,1,1,1
105,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
106,1,1,2,1,2,2,1,1, ,1,2,1,2,2,2,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
107,1,1,1,1,2,2,1,1, ,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
109,1,1,1,1,2,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
110, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
111,1,1,1,1,2,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
